pincode,status,is_prime,state
124523,Serviceable,false,
124524,Serviceable,false,
124525,Serviceable,false,
124526,Serviceable,false,
124527,Serviceable,false,
124528,Serviceable,false,
124530,Serviceable,false,
124531,Serviceable,false,
124533,Serviceable,false,
125001,Serviceable,false,
125002,Serviceable,false,
125003,Serviceable,false,
125004,Serviceable,false,
125005,Serviceable,false,
125006,Serviceable,false,
125007,Serviceable,false,
125011,Serviceable,false,
125012,Serviceable,false,
125033,Serviceable,false,
125034,Serviceable,false,
125035,Serviceable,false,
125037,Serviceable,false,
125038,Serviceable,false,
125039,Serviceable,false,
125042,Serviceable,false,
125044,Serviceable,false,
125047,Serviceable,false,
125048,Serviceable,false,
125049,Serviceable,false,
125050,Serviceable,false,
125051,Serviceable,false,
125052,Serviceable,false,
125053,Serviceable,false,
125054,Serviceable,false,
125055,Serviceable,false,
125058,Serviceable,false,
125060,Serviceable,false,
125068,Serviceable,false,
125069,Serviceable,false,
125070,Serviceable,false,
125073,Serviceable,false,
125075,Serviceable,false,
125076,Serviceable,false,
125077,Serviceable,false,
125079,Serviceable,false,
125080,Serviceable,false,
125081,Serviceable,false,
125082,Serviceable,false,
125083,Serviceable,false,
125084,Serviceable,false,
125086,Serviceable,false,
125088,Serviceable,false,
125101,Serviceable,false,
125103,Serviceable,false,
125105,Serviceable,false,
125106,Serviceable,false,
125107,Serviceable,false,
125108,Serviceable,false,
125109,Serviceable,false,
125110,Serviceable,false,
125111,Serviceable,false,
125112,Serviceable,false,
125113,Serviceable,false,
125120,Serviceable,false,
125121,Serviceable,false,
125133,Serviceable,false,
125201,Serviceable,false,
126006,Serviceable,false,
126007,Serviceable,false,
126008,Serviceable,false,
126009,Serviceable,false,
126011,Serviceable,false,
126013,Serviceable,false,
126014,Serviceable,false,
126015,Serviceable,false,
126025,Serviceable,false,
126027,Serviceable,false,
126101,Serviceable,false,
126102,Serviceable,false,
126110,Serviceable,false,
126112,Serviceable,false,
126113,Serviceable,false,
126114,Serviceable,false,
126115,Serviceable,false,
126116,Serviceable,false,
126120,Serviceable,false,
126125,Serviceable,false,
126152,Serviceable,false,
127021,Serviceable,false,
127022,Serviceable,false,
127025,Serviceable,false,
127026,Serviceable,false,
127027,Serviceable,false,
127028,Serviceable,false,
127029,Serviceable,false,
127030,Serviceable,false,
127031,Serviceable,false,
127035,Serviceable,false,
127040,Serviceable,false,
127042,Serviceable,false,
127043,Serviceable,false,
127111,Serviceable,false,
127201,Serviceable,false,
127307,Serviceable,false,
127308,Serviceable,false,
127309,Serviceable,false,
127310,Serviceable,false,
127312,Serviceable,false,
131001,Serviceable,false,
131021,Serviceable,false,
131022,Serviceable,false,
131024,Serviceable,false,
131028,Serviceable,false,
131029,Serviceable,false,
131039,Serviceable,false,
131103,Serviceable,false,
131301,Serviceable,false,
131302,Serviceable,false,
131304,Serviceable,false,
131305,Serviceable,false,
131403,Serviceable,false,
131408,Serviceable,false,
131409,Serviceable,false,
132001,Serviceable,false,
132013,Serviceable,false,
132022,Serviceable,false,
132023,Serviceable,false,
132024,Serviceable,false,
132039,Serviceable,false,
132046,Serviceable,false,
132047,Serviceable,false,
132048,Serviceable,false,
132049,Serviceable,false,
132050,Serviceable,false,
132051,Serviceable,false,
132052,Serviceable,false,
132053,Serviceable,false,
132054,Serviceable,false,
132058,Serviceable,false,
132102,Serviceable,false,
132103,Serviceable,false,
132107,Serviceable,false,
132108,Serviceable,false,
132109,Serviceable,false,
132110,Serviceable,false,
132113,Serviceable,false,
132114,Serviceable,false,
132115,Serviceable,false,
132116,Serviceable,false,
132117,Serviceable,false,
132122,Serviceable,false,
132140,Serviceable,false,
132154,Serviceable,false,
132155,Serviceable,false,
132157,Serviceable,false,
133001,Serviceable,false,
133004,Serviceable,false,
133005,Serviceable,false,
133006,Serviceable,false,
133101,Serviceable,false,
133102,Serviceable,false,
133103,Serviceable,false,
133104,Serviceable,false,
133105,Serviceable,false,
133201,Serviceable,false,
133202,Serviceable,false,
133203,Serviceable,false,
133204,Serviceable,false,
133205,Serviceable,false,
133206,Serviceable,false,
133301,Serviceable,false,
133302,Serviceable,false,
134003,Serviceable,false,
134104,Serviceable,false,
134107,Serviceable,false,
134108,Serviceable,false,
134112,Serviceable,false,
134113,Serviceable,false,
134114,Serviceable,false,
134117,Serviceable,false,
134202,Serviceable,false,
134203,Serviceable,false,
134204,Serviceable,false,
134205,Serviceable,false,
135001,Serviceable,false,
135002,Serviceable,false,
135003,Serviceable,false,
135021,Serviceable,false,
135102,Serviceable,false,
135103,Serviceable,false,
135106,Serviceable,false,
135133,Serviceable,false,
136020,Serviceable,false,
136021,Serviceable,false,
136027,Serviceable,false,
136030,Serviceable,false,
136033,Serviceable,false,
